;ocp_v3.11_01;juichi;juichi-ichi-master;juichi-ichi-master.local.nutius.com;52:54:00:ab:11:71
;ocp_v3.11_01;juichi;juichi-ichi-node;juichi-ichi-node.local.nutius.com;52:54:00:ab:11:72
;ocp_v3.11_01;juichi;juichi-ni-node;juichi-ni-node.local.nutius.com;52:54:00:ab:11:73
;ocp_v3.11_01;juichi;juichi-ichi-infra-node;juichi-ichi-infra-node.local.nutius.com;52:54:00:ab:11:74
;ocp_v3.11_01;juichi;juichi-ni-infra-node;juichi-ni-infra-node.local.nutius.com;52:54:00:ab:11:75

;ocp_v3.11_02;che;che-workstation;che-workstation.local.nutius.com;52:54:00:ab:11:90
;ocp_v3.11_02;che;che-ichi-master;che-ichi-master.local.nutius.com;52:54:00:ab:11:91
;ocp_v3.11_02;che;che-ichi-node;che-ichi-node.local.nutius.com;52:54:00:ab:11:92
;ocp_v3.11_02;che;che-ichi-infra-node;che-ichi-infra-node.local.nutius.com;52:54:00:ab:11:93

;ocp_v3.11_03;juichisan;juichisan-workstation;juichisan-workstation.local.nutius.com;52:54:00:ab:11:d0
;ocp_v3.11_03;juichisan;juichisan-ichi-master;juichisan-ichi-master.local.nutius.com;52:54:00:ab:11:d1
;ocp_v3.11_03;juichisan;juichisan-ichi-node;juichisan-ichi-node.local.nutius.com;52:54:00:ab:11:d2
;ocp_v3.11_03;juichisan;juichisan-ni-node;juichisan-ni-node.local.nutius.com;52:54:00:ab:11:d3
;ocp_v3.11_03;juichisan;juichisan-ichi-infra-node;juichisan-ichi-infra-node.local.nutius.com;52:54:00:ab:11:d4
;ocp_v3.11_03;juichisan;juichisan-ni-infra-node;juichisan-ni-infra-node.local.nutius.com;52:54:00:ab:11:d5
;ocp_v3.11_03;juichisan;juichisan-san-infra-node;juichisan-san-infra-node.local.nutius.com;52:54:00:ab:11:d6

;ocp_v3.11_04;juichiroku;juichiroku-workstation;juichiroku-workstation.local.nutius.com;52:54:00:03:11:40
;ocp_v3.11_04;juichiroku;juichiroku-ichi-master;juichiroku-ichi-master.local.nutius.com;52:54:00:03:11:41
;ocp_v3.11_04;juichiroku;juichiroku-ni-master;juichiroku-ichi-master.local.nutius.com;52:54:00:03:11:42
;ocp_v3.11_04;juichiroku;juichiroku-san-master;juichiroku-ichi-master.local.nutius.com;52:54:00:03:11:43
;ocp_v3.11_04;juichiroku;juichiroku-ichi-node;juichiroku-ichi-node.local.nutius.com;52:54:00:03:11:44
;ocp_v3.11_04;juichiroku;juichiroku-ni-node;juichiroku-ni-node.local.nutius.com;52:54:00:03:11:45
;ocp_v3.11_04;juichiroku;juichiroku-ichi-infra-node;juichiroku-ichi-infra-node.local.nutius.com;52:54:00:03:11:46
;ocp_v3.11_04;juichiroku;juichiroku-ni-infra-node;juichiroku-ni-infra-node.local.nutius.com;52:54:00:03:11:47

;ocp_v3.11_05;juichigo;juichigo-workstation;juichigo-workstation.local.nutius.com;52:54:00:ab:11:c1
;aocp_v3.11_05;ajuichigo;juichigo-ichi-master;juichigo-ichi-master.local.nutius.com;52:54:00:ab:11:c2
;aocp_v3.11_05;ajuichigo;juichigo-ichi-node;juichigo-ichi-node.local.nutius.com;52:54:00:ab:11:c3
;aocp_v3.11_05;ajuichigo;juichigo-ni-node;juichigo-ni-node.local.nutius.com;52:54:00:ab:11:c4
;aocp_v3.11_05;ajuichigo;juichigo-ichi-infra-node;juichigo-ichi-infra-node.local.nutius.com;52:54:00:ab:11:c5
;aocp_v3.11_05;ajuichigo;juichigo-ni-infra-node;juichigo-ni-infra-node.local.nutius.com;52:54:00:ab:11:c6


;gluster;gluster;gluster-a;gluster-a.local.nutius.com;52:54:00:ab:11:a1
;gluster;gluster;gluster-b;gluster-b.local.nutius.com;52:54:00:ab:11:a2
;gluster;gluster;gluster-c;gluster-c.local.nutius.com;52:54:00:ab:11:a3

;elasticsearch;elasticsearch;elasticsearch-a;elasticsearch-a.local.nutius.com;52:54:00:ab:11:b1
;elasticsearch;elasticsearch;elasticsearch-b;elasticsearch-b.local.nutius.com;52:54:00:ab:11:b2
;elasticsearch;elasticsearch;elasticsearch-c;elasticsearch-c.local.nutius.com;52:54:00:ab:11:b3
;elasticsearch;elasticsearch;elasticsearch-d;elasticsearch-d.local.nutius.com;52:54:00:ab:11:b4
;elasticsearch;elasticsearch;elasticsearch-e;elasticsearch-e.local.nutius.com;52:54:00:ab:11:b5

;torii;torii;torii-ichi-master;torii-ichi-master.local.nutius.com;F8:B1:56:B6:40:CB
;torii;torii;torii-ichi-infra-node;torii-ichi-infra-node.local.nutius.com;F8:B1:56:C1:07:06
;torii;torii;torii-ni-infra-node;torii-ni-infra-node.local.nutius.com;f8:b1:56:d9:2e:a1
;torii;torii;torii-san-infra-node;torii-san-infra-node.local.nutius.com;f8:b1:56:cb:81:87
;torii;torii;torii-ichi-node;torii-ichi-node.local.nutius.com;F8:B1:56:C1:70:F2
;torii;torii;torii-ichi-gluster;torii-ichi-gluster.local.nutius.com;xx-xx-xx-xx-xx-xx
;torii;torii;torii-ni-gluster;torii-ichi-gluster.local.nutius.com;xx-xx-xx-xx-xx-xx
;torii;torii;torii-san-gluster;torii-ichi-gluster.local.nutius.com;xx-xx-xx-xx-xx-xx
